# 0D ASCII output created by CarpetIOASCII
# created on kop153.datura.admin by barry on Mar 29 2012 at 01:45:40+0200
# parameter filename: "/lustre/datura/barry/simulations/EinsteinToolkit_Maxwell/bbh/output-0000/bbh.par"
# Build ID: build-sim-login-damiana.damiana.admin-barry-2012.03.28-18.17.23-3129
# Simulation ID: run-bbh-kop153.datura.admin-barry-2012.03.28-23.44.55-22431
# Run ID: run-bbh-kop153.datura.admin-barry-2012.03.28-23.44.55-22431
#
# CARPET::TIMING (carpet::timing)
#
# iteration 0
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
0	0 0 0 0	0 0 0	0	0 0 0	0 0 43.0374720096588 0 41.0426208972931 0 2.01024627685547 0 0 0 0 0 12.5322636085618 5939193.62029456 2530.01337729646 5936663.60691726 30 11885346 7258 11878088 0 0 0 0 40.1047034263611

# iteration 32
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
32	0 0 0 0	0 0 0	0.5	0 0 0	48.597070182145 38.8457348335256 80.2191121578217 37.0392699241638 78.1019649505615 0 2.11714720726013 64 221999.843550355 437220.95880194 17338624 34147816 16.0593462199544 6190111.84251098 4784.74050612171 6185327.10200486 34 13105378 10130 13095248 0 0 0 0 79.2319729328156

# iteration 64
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
64	0 0 0 0	0 0 0	1	0 0 0	50.6544949299812 43.4953564434099 114.2495470047 71.0697047710419 112.131383657455 0 2.11816334724426 128 309255.507859725 609067.950223756 34677248 68295632 16.99585636152 6188126.15044673 5766.31637776683 6182359.83406896 36 13107462 12214 13095248 0 0 0 0 113.180818319321

# iteration 96
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
96	0 0 0 0	0 0 0	1.5	0 0 0	49.4245992966105 45.3282632345668 152.437177181244 109.257334947586 150.318007707596 0 2.11916947364807 192 346836.369075729 683106.499121138 52135752 102683208 17.9315531261331 6186166.40293163 6741.79209244906 6179424.61083918 38 13109535 14287 13095248 0 0 0 0 150.753363132477

# iteration 128
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
128	0 0 0 0	0 0 0	2	0 0 0	45.949613973877 46.1368653559031 199.873215198517 156.693372964859 197.751706361771 0 2.12338280677795 256 351927.461362498 693145.897559236 69594256 137070784 19.3258681226528 6182463.9958212 9853.36456673012 6172610.63125447 44 13116275 21027 13095248 0 0 0 0 187.097711324692

# iteration 160
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
160	0 0 0 0	0 0 0	2.5	0 0 0	46.0564924671474 46.0380229834974 238.592031002045 195.412188768387 236.467508077621 0 2.12452292442322 320 368946.113185926 727684.95510815 87243768 172073848 21.6519198127685 6174728.85286068 10875.3827668265 6163853.47009386 46 13118353 23105 13095248 0 0 0 0 236.394000768661

# iteration 192
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
192	0 0 0 0	0 0 0	3	0 0 0	46.3260820043472 46.0140241230952 276.309853076935 233.130010843277 274.183573961258 0 2.12627911567688 384 382565.87907349 755249.152997254 104893280 207076912 22.5746467837171 6170610.3884782 11847.9271203209 6158762.46135788 48 13120440 25192 13095248 0 0 0 0 273.896346569061

# iteration 224
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
224	0 0 0 0	0 0 0	3.5	0 0 0	46.1516063774319 45.9923005428832 316.193091154099 273.013248920441 314.065847873688 0 2.12724328041077 448 390125.958710664 770681.924312084 122525240 242044872 23.5045988676693 6168789.96438342 12818.9381304495 6155971.02625297 50 13122517 27269 13095248 0 0 0 0 313.031031131744

# iteration 256
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
256	0 0 0 0	0 0 0	4	0 0 0	45.2777964313386 45.9803326310682 361.216521024704 318.036678791046 359.062585830688 0 2.15898656845093 512 390341.978058637 771488.990865292 140157200 277012832 27.3917247668016 6097723.8481881 15732.1353465735 6081991.71284153 63 13134723 34003 13100720 0 0 0 0 350.248504400253

# iteration 288
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
288	0 0 0 0	0 0 0	4.5	0 0 0	45.5860493291128 45.9004336455983 398.551721096039 355.371878862381 396.391654253006 0 2.16006684303284 576 398245.982997516 787416.275421326 157861384 312125240 30.0916613805973 6081665.03845562 16704.5756553245 6064960.46280029 65 13136803 36083 13100720 0 0 0 0 395.195581912994

# iteration 320
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
320	0 0 0 0	0 0 0	5	0 0 0	45.717278265968 45.8560938111553 436.904068231583 393.724225997925 434.743060112 0 2.16100811958313 640 403837.5401663 798719.243294059 175565568 347237648 31.0040482462068 6079979.93202106 17661.2015726079 6062318.73044845 67 13138886 38166 13100720 0 0 0 0 433.454433917999

# iteration 352
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
352	0 0 0 0	0 0 0	5.5	0 0 0	45.740318820389 45.820149930747 476.058329105377 432.878486871719 473.896389245987 0 2.16193985939026 704 402477.715231115 805636.068693117 190732736 381788024 31.9157814220884 6078318.48000906 18612.4511397596 6059706.0288693 69 13140959 40239 13100720 0 0 0 0 471.857584238052

# iteration 384
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
384	0 0 0 0	0 0 0	6	0 0 0	44.9351541916807 45.7772222937536 523.872529029846 480.692686796188 521.708460330963 0 2.16600799560547 768 394664.68277969 798028.844952757 205899904 416338400 33.2706628200673 6075394.00518379 21649.0354600021 6053744.96972378 75 13147690 46970 13100720 0 0 0 0 511.675284862518

# iteration 416
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:io_per_second 26:io_bytes_per_second 27:io_bytes_ascii_per_second 28:io_bytes_binary_per_second 29:io_count 30:io_bytes_count 31:io_bytes_ascii_count 32:io_bytes_binary_count 33:comm_per_second 34:comm_bytes_per_second 35:comm_count 36:comm_bytes_count 37:time_levels
416	0 0 0 0	0 0 0	6.5	0 0 0	44.8642737685353 45.6922444232507 564.752979040146 521.573136806488 562.58584022522 0 2.16713881492615 832 393088.115960168 802049.521579432 221145808 451221704 35.5307188767343 6067802.35277551 22633.5293623872 6045168.82341312 77 13149770 49050 13100720 0 0 0 0 559.863393068314

