# 0D ASCII output created by CarpetIOASCII
# created on kop122.datura.admin by barry on Mar 29 2012 at 02:06:54+0200
# parameter filename: "/lustre/datura/barry/simulations/EinsteinToolkit_Maxwell/bbh/output-0001/bbh.par"
# Build ID: build-sim-login-damiana.damiana.admin-barry-2012.03.28-18.17.23-3129
# Simulation ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
# Run ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
#
# QUASILOCALMEASURES::QLM_SCALARS (quasilocalmeasures::qlm_scalars)
#
# iteration 512
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_time[0] 14:qlm_time[1] 15:qlm_time[2] 16:qlm_equatorial_circumference[0] 17:qlm_equatorial_circumference[1] 18:qlm_equatorial_circumference[2] 19:qlm_polar_circumference_0[0] 20:qlm_polar_circumference_0[1] 21:qlm_polar_circumference_0[2] 22:qlm_polar_circumference_pi_2[0] 23:qlm_polar_circumference_pi_2[1] 24:qlm_polar_circumference_pi_2[2] 25:qlm_area[0] 26:qlm_area[1] 27:qlm_area[2] 28:qlm_irreducible_mass[0] 29:qlm_irreducible_mass[1] 30:qlm_irreducible_mass[2] 31:qlm_radius[0] 32:qlm_radius[1] 33:qlm_radius[2] 34:qlm_spin_guess[0] 35:qlm_spin_guess[1] 36:qlm_spin_guess[2] 37:qlm_mass_guess[0] 38:qlm_mass_guess[1] 39:qlm_mass_guess[2] 40:qlm_killing_eigenvalue_re[0] 41:qlm_killing_eigenvalue_re[1] 42:qlm_killing_eigenvalue_re[2] 43:qlm_killing_eigenvalue_im[0] 44:qlm_killing_eigenvalue_im[1] 45:qlm_killing_eigenvalue_im[2] 46:qlm_spin[0] 47:qlm_spin[1] 48:qlm_spin[2] 49:qlm_npspin[0] 50:qlm_npspin[1] 51:qlm_npspin[2] 52:qlm_wsspin[0] 53:qlm_wsspin[1] 54:qlm_wsspin[2] 55:qlm_cvspin[0] 56:qlm_cvspin[1] 57:qlm_cvspin[2] 58:qlm_coordspinx[0] 59:qlm_coordspinx[1] 60:qlm_coordspinx[2] 61:qlm_coordspiny[0] 62:qlm_coordspiny[1] 63:qlm_coordspiny[2] 64:qlm_coordspinz[0] 65:qlm_coordspinz[1] 66:qlm_coordspinz[2] 67:qlm_mass[0] 68:qlm_mass[1] 69:qlm_mass[2] 70:qlm_adm_energy[0] 71:qlm_adm_energy[1] 72:qlm_adm_energy[2] 73:qlm_adm_momentum_x[0] 74:qlm_adm_momentum_x[1] 75:qlm_adm_momentum_x[2] 76:qlm_adm_momentum_y[0] 77:qlm_adm_momentum_y[1] 78:qlm_adm_momentum_y[2] 79:qlm_adm_momentum_z[0] 80:qlm_adm_momentum_z[1] 81:qlm_adm_momentum_z[2] 82:qlm_adm_angular_momentum_x[0] 83:qlm_adm_angular_momentum_x[1] 84:qlm_adm_angular_momentum_x[2] 85:qlm_adm_angular_momentum_y[0] 86:qlm_adm_angular_momentum_y[1] 87:qlm_adm_angular_momentum_y[2] 88:qlm_adm_angular_momentum_z[0] 89:qlm_adm_angular_momentum_z[1] 90:qlm_adm_angular_momentum_z[2] 91:qlm_ll_energy[0] 92:qlm_ll_energy[1] 93:qlm_ll_energy[2] 94:qlm_ll_momentum_x[0] 95:qlm_ll_momentum_x[1] 96:qlm_ll_momentum_x[2] 97:qlm_ll_momentum_y[0] 98:qlm_ll_momentum_y[1] 99:qlm_ll_momentum_y[2] 100:qlm_ll_momentum_z[0] 101:qlm_ll_momentum_z[1] 102:qlm_ll_momentum_z[2] 103:qlm_ll_angular_momentum_x[0] 104:qlm_ll_angular_momentum_x[1] 105:qlm_ll_angular_momentum_x[2] 106:qlm_ll_angular_momentum_y[0] 107:qlm_ll_angular_momentum_y[1] 108:qlm_ll_angular_momentum_y[2] 109:qlm_ll_angular_momentum_z[0] 110:qlm_ll_angular_momentum_z[1] 111:qlm_ll_angular_momentum_z[2]
512	0 0 0 0	0 0 0	8	0 0 0	8 8 -4.3180364477547e+42 6.28879756472087 6.28879756472087 -4.3180364477547e+42 6.29759833413117 6.252543292414 -4.3180364477547e+42 6.16797973832135 6.3978590228534 -4.3180364477547e+42 12.5665189728638 12.5665189728638 -4.3180364477547e+42 0.500002951489958 0.50000295148996 -4.3180364477547e+42 1.00000590297992 1.00000590297992 -4.3180364477547e+42 0.0210680437189062 0.0210680437188864 -4.3180364477547e+42 0.5004466092648 0.5004466092648 -4.3180364477547e+42 0.999987336798707 0.999987336798742 -4.3180364477547e+42 0 0 -4.3180364477547e+42 -7.30820195991095e-06 -7.35857296332896e-06 -4.3180364477547e+42 -0.00357009971951813 -0.00356995683225031 -4.3180364477547e+42 7.16938281921308e-06 7.16522092332634e-06 -4.3180364477547e+42 0 0 -4.3180364477547e+42 2.53172204411336e-18 -3.86539223487021e-18 -4.3180364477547e+42 -1.61960109893386e-18 -1.10442666913731e-19 -4.3180364477547e+42 -2.95933812876688e-05 -2.95933812876576e-05 -4.3180364477547e+42 0.500002951543367 0.500002951544107 -4.3180364477547e+42 -1.62118504559524 -1.62118504559524 -4.3180364477547e+42 -0.00605182759775408 0.00605182759775416 -4.3180364477547e+42 0.0177205267109512 -0.0177205267109512 -4.3180364477547e+42 2.79118531943973e-17 7.1921144034889e-17 -4.3180364477547e+42 2.26335673835822e-17 -5.17469368136597e-17 -4.3180364477547e+42 -5.39458343447319e-17 1.30705654090811e-16 -4.3180364477547e+42 0.0494031712411761 0.0494031712411768 -4.3180364477547e+42 3.78494978187774 3.78494978187776 -4.3180364477547e+42 -0.0310154428055897 0.03101544280559 -4.3180364477547e+42 0.101872440508186 -0.101872440508186 -4.3180364477547e+42 7.05747851652283e-18 -2.51331616109296e-17 -4.3180364477547e+42 3.70966549579493e-17 -1.01637177406938e-16 -4.3180364477547e+42 -8.41815224299214e-17 2.68834704931359e-16 -4.3180364477547e+42 0.382429134805209 0.382429134805207 -4.3180364477547e+42

# iteration 640
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_time[0] 14:qlm_time[1] 15:qlm_time[2] 16:qlm_equatorial_circumference[0] 17:qlm_equatorial_circumference[1] 18:qlm_equatorial_circumference[2] 19:qlm_polar_circumference_0[0] 20:qlm_polar_circumference_0[1] 21:qlm_polar_circumference_0[2] 22:qlm_polar_circumference_pi_2[0] 23:qlm_polar_circumference_pi_2[1] 24:qlm_polar_circumference_pi_2[2] 25:qlm_area[0] 26:qlm_area[1] 27:qlm_area[2] 28:qlm_irreducible_mass[0] 29:qlm_irreducible_mass[1] 30:qlm_irreducible_mass[2] 31:qlm_radius[0] 32:qlm_radius[1] 33:qlm_radius[2] 34:qlm_spin_guess[0] 35:qlm_spin_guess[1] 36:qlm_spin_guess[2] 37:qlm_mass_guess[0] 38:qlm_mass_guess[1] 39:qlm_mass_guess[2] 40:qlm_killing_eigenvalue_re[0] 41:qlm_killing_eigenvalue_re[1] 42:qlm_killing_eigenvalue_re[2] 43:qlm_killing_eigenvalue_im[0] 44:qlm_killing_eigenvalue_im[1] 45:qlm_killing_eigenvalue_im[2] 46:qlm_spin[0] 47:qlm_spin[1] 48:qlm_spin[2] 49:qlm_npspin[0] 50:qlm_npspin[1] 51:qlm_npspin[2] 52:qlm_wsspin[0] 53:qlm_wsspin[1] 54:qlm_wsspin[2] 55:qlm_cvspin[0] 56:qlm_cvspin[1] 57:qlm_cvspin[2] 58:qlm_coordspinx[0] 59:qlm_coordspinx[1] 60:qlm_coordspinx[2] 61:qlm_coordspiny[0] 62:qlm_coordspiny[1] 63:qlm_coordspiny[2] 64:qlm_coordspinz[0] 65:qlm_coordspinz[1] 66:qlm_coordspinz[2] 67:qlm_mass[0] 68:qlm_mass[1] 69:qlm_mass[2] 70:qlm_adm_energy[0] 71:qlm_adm_energy[1] 72:qlm_adm_energy[2] 73:qlm_adm_momentum_x[0] 74:qlm_adm_momentum_x[1] 75:qlm_adm_momentum_x[2] 76:qlm_adm_momentum_y[0] 77:qlm_adm_momentum_y[1] 78:qlm_adm_momentum_y[2] 79:qlm_adm_momentum_z[0] 80:qlm_adm_momentum_z[1] 81:qlm_adm_momentum_z[2] 82:qlm_adm_angular_momentum_x[0] 83:qlm_adm_angular_momentum_x[1] 84:qlm_adm_angular_momentum_x[2] 85:qlm_adm_angular_momentum_y[0] 86:qlm_adm_angular_momentum_y[1] 87:qlm_adm_angular_momentum_y[2] 88:qlm_adm_angular_momentum_z[0] 89:qlm_adm_angular_momentum_z[1] 90:qlm_adm_angular_momentum_z[2] 91:qlm_ll_energy[0] 92:qlm_ll_energy[1] 93:qlm_ll_energy[2] 94:qlm_ll_momentum_x[0] 95:qlm_ll_momentum_x[1] 96:qlm_ll_momentum_x[2] 97:qlm_ll_momentum_y[0] 98:qlm_ll_momentum_y[1] 99:qlm_ll_momentum_y[2] 100:qlm_ll_momentum_z[0] 101:qlm_ll_momentum_z[1] 102:qlm_ll_momentum_z[2] 103:qlm_ll_angular_momentum_x[0] 104:qlm_ll_angular_momentum_x[1] 105:qlm_ll_angular_momentum_x[2] 106:qlm_ll_angular_momentum_y[0] 107:qlm_ll_angular_momentum_y[1] 108:qlm_ll_angular_momentum_y[2] 109:qlm_ll_angular_momentum_z[0] 110:qlm_ll_angular_momentum_z[1] 111:qlm_ll_angular_momentum_z[2]
640	0 0 0 0	0 0 0	10	0 0 0	10 10 -4.3180364477547e+42 6.28697513816027 6.28697513816027 -4.3180364477547e+42 6.33021550336365 6.22275872581566 -4.3180364477547e+42 6.17924986746145 6.38832824741354 -4.3180364477547e+42 12.5666543241658 12.5666543241658 -4.3180364477547e+42 0.500005644195409 0.500005644195408 -4.3180364477547e+42 1.00001128839082 1.00001128839082 -4.3180364477547e+42 0.0172057716148371 0.0172057716148452 -4.3180364477547e+42 0.50030158516703 0.500301585167029 -4.3180364477547e+42 1.00000170343042 1.00000170343032 -4.3180364477547e+42 0 0 -4.3180364477547e+42 -1.28145315240278e-05 -1.28037838364506e-05 -4.3180364477547e+42 -0.00391671680700001 -0.00391711987122634 -4.3180364477547e+42 0.00107494840364537 0.00107506607346083 -4.3180364477547e+42 0 0 -4.3180364477547e+42 -1.66584075075127e-18 -4.68368578160972e-18 -4.3180364477547e+42 2.1566146645742e-18 1.06930879946258e-18 -4.3180364477547e+42 0.000122600542466392 0.000122600542466352 -4.3180364477547e+42 0.500005644359616 0.50000564435934 -4.3180364477547e+42 -1.5758030938731 -1.5758030938731 -4.3180364477547e+42 -0.00957921134739053 0.00957921134739053 -4.3180364477547e+42 0.0168329510563173 -0.0168329510563173 -4.3180364477547e+42 1.00475048203305e-17 1.78032349469224e-16 -4.3180364477547e+42 7.87232421178147e-18 -1.51217403941521e-16 -4.3180364477547e+42 -2.22684961833156e-17 2.9110150704878e-16 -4.3180364477547e+42 0.0514670477703528 0.0514670477703524 -4.3180364477547e+42 3.70726293977604 3.70726293977605 -4.3180364477547e+42 -0.0535405051927294 0.0535405051927296 -4.3180364477547e+42 0.0946504680072549 -0.0946504680072546 -4.3180364477547e+42 3.20856080419929e-18 -8.66853518220051e-17 -4.3180364477547e+42 2.05761243547015e-17 -2.96847778562953e-16 -4.3180364477547e+42 -4.5888856950449e-17 5.52719491269532e-16 -4.3180364477547e+42 0.387450804542991 0.387450804542991 -4.3180364477547e+42

# iteration 768
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
