# Scalar ASCII output created by CarpetIOScalar
# created on kop122.datura.admin by barry on Mar 29 2012 at 02:06:54+0200
# parameter filename: "/lustre/datura/barry/simulations/EinsteinToolkit_Maxwell/bbh/output-0001/bbh.par"
# Build ID: build-sim-login-damiana.damiana.admin-barry-2012.03.28-18.17.23-3129
# Simulation ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
# Run ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
512 8 1964 7 1777 0 0 155 1435 341 26 10
640 10 2000 7 1879 0 0 88 1504 374 26 10
768 12 1966 7 1879 0 0 54 1534 344 7 10
896 14 1992 7 1871 0 0 86 1493 377 17 10
1024 16 2125 7 1995 0 0 95 1658 494 43 10
1152 18 2169 7 1615 0 0 54 1676 430 6 10
1280 20 2244 7 1615 0 0 54 1649 503 26 10
1408 22 1963 7 1874 0 0 54 1602 375 21 10
1536 24 2082 7 1989 0 0 54 1571 417 21 10
1664 26 2171 7 1630 0 0 54 1610 466 22 10
1792 28 2172 7 1686 0 0 54 1497 580 58 10
1920 30 2102 7 2005 0 0 54 1411 594 17 10
2048 32 2102 7 2005 0 0 54 1457 548 17 10
2176 34 2103 7 2005 0 0 54 1580 425 4 10
2304 36 2214 7 1607 0 0 54 1667 448 0 10
2432 38 2250 7 1607 0 0 54 1587 563 44 10
2560 40 2250 7 1607 0 0 54 1624 526 44 10
2688 42 2334 7 1631 0 0 54 1652 581 24 10
2816 44 2308 7 1631 0 0 94 1643 523 24 10
2944 46 2310 7 1631 0 0 95 1664 500 24 10
3072 48 2239 7 1631 0 0 87 1501 601 24 10
3200 50 2222 7 1706 0 0 87 1495 589 0 10
3328 52 2092 7 1987 0 0 54 1418 595 21 10
3456 54 2093 7 1987 0 0 54 1399 590 20 10
3584 56 2094 7 1987 0 0 54 1416 596 20 10
3712 58 2286 7 1885 0 0 96 1660 785 52 10
3840 60 2445 7 1885 0 0 94 1642 766 52 10
3968 62 2444 7 1607 0 0 93 1629 669 11 10
4096 64 2406 7 1607 0 0 54 1634 663 15 10
4224 66 2314 7 1607 0 0 87 1565 605 0 10
4352 68 2157 7 1607 0 0 54 1658 453 21 10
4480 70 2219 7 1696 0 0 54 1512 595 31 10
4608 72 2079 7 1966 0 0 54 1426 540 1 10
4736 74 2081 7 1966 0 0 54 1412 554 0 10
4864 76 2082 7 1966 0 0 54 1503 465 21 10
4992 78 2316 7 1756 0 0 54 1640 621 51 10
5120 80 2264 7 1665 0 0 54 1575 570 21 10
5248 82 2318 7 1629 0 0 54 1595 604 57 10
5376 84 2152 7 2033 0 0 54 1518 515 21 10
5504 86 2102 7 1982 0 0 54 1509 472 15 10
5632 88 2102 7 1982 0 0 54 1352 654 15 10
5760 90 2103 7 1982 0 0 54 1487 578 15 10
5888 92 2205 7 1682 0 0 87 1448 601 21 10
6016 94 2087 7 1966 0 0 54 1451 515 0 10
6144 96 2155 7 2033 0 0 54 1499 534 32 10
6272 98 2089 7 1966 0 0 54 1364 602 23 10
6400 100 2089 7 1966 0 0 54 1331 635 0 10
6528 102 2089 7 1966 0 0 54 1448 527 0 10
6656 104 2090 7 1966 0 0 54 1384 582 11 10
6784 106 2090 7 1966 0 0 54 1288 699 21 10
6912 108 2091 7 1966 0 0 54 1320 646 38 10
7040 110 2091 7 1966 0 0 54 1250 736 38 10
7168 112 2092 7 1966 0 0 54 1200 785 38 10
7296 114 2092 7 1966 0 0 54 1202 783 38 10
7424 116 2093 7 1966 0 0 54 1179 806 38 10
7552 118 2093 7 1966 0 0 54 1177 808 38 10
7680 120 2093 7 1966 0 0 54 1161 823 38 10
7808 122 2093 7 1966 0 0 54 1161 823 38 10
7936 124 2093 7 1966 0 0 54 1159 825 38 10
8064 126 2093 7 1966 0 0 54 1159 825 38 10
8192 128 2094 7 1966 0 0 54 1160 825 38 10
8320 130 2094 7 1966 0 0 54 1160 825 38 10
8448 132 2094 7 1966 0 0 54 1160 825 38 10
8576 134 2094 7 1966 0 0 54 1160 825 38 10
8704 136 2094 7 1966 0 0 54 1160 825 38 10
8832 138 2094 7 1966 0 0 54 1160 825 38 10
8960 140 2094 7 1966 0 0 54 1160 825 38 10
9088 142 2094 7 1966 0 0 54 1160 825 38 10
9216 144 2094 7 1966 0 0 54 1160 825 38 10
9344 146 2094 7 1966 0 0 54 1160 825 38 10
9472 148 2094 7 1966 0 0 54 1160 825 38 10
9600 150 2094 7 1966 0 0 54 1160 825 38 10
9728 152 2094 7 1966 0 0 54 1160 825 38 10
9856 154 2094 7 1966 0 0 54 1162 823 38 10
9984 156 2094 7 1966 0 0 54 1162 823 38 10
