# Scalar ASCII output created by CarpetIOScalar
# created on kop122.datura.admin by barry on Mar 29 2012 at 02:06:54+0200
# parameter filename: "/lustre/datura/barry/simulations/EinsteinToolkit_Maxwell/bbh/output-0001/bbh.par"
# Build ID: build-sim-login-damiana.damiana.admin-barry-2012.03.28-18.17.23-3129
# Simulation ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
# Run ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
512 8 1789 5 1617 0 0 138 1320 296 22 10
640 10 1822 5 1716 0 0 71 1395 319 13 10
768 12 1848 5 1758 0 0 54 1416 342 3 10
896 14 1862 5 1754 0 0 70 1401 353 15 10
1024 16 1945 5 1833 0 0 74 1417 415 21 10
1152 18 1940 5 -201 0 0 54 1430 416 3 10
1280 20 1979 5 -163 0 0 54 1431 452 16 10
1408 22 1839 5 1744 0 0 54 1421 323 14 10
1536 24 1900 5 1809 0 0 54 1426 382 10 10
1664 26 1951 5 -194 0 0 54 1413 439 11 10
1792 28 1981 5 -166 0 0 54 1421 459 29 10
1920 30 2001 5 1899 0 0 54 1406 492 8 10
2048 32 2001 5 1899 0 0 54 1413 485 9 10
2176 34 1909 5 1806 0 0 54 1412 393 2 10
2304 36 1965 5 -186 0 0 54 1430 431 0 10
2432 38 1983 5 -168 0 0 54 1418 460 22 10
2560 40 1983 5 -168 0 0 54 1421 457 22 10
2688 42 2038 5 -115 0 0 54 1416 515 12 10
2816 44 2026 5 -149 0 0 74 1400 498 12 10
2944 46 2027 5 -149 0 0 74 1405 492 12 10
3072 48 1992 5 -181 0 0 70 1398 468 12 10
3200 50 2021 5 -152 0 0 70 1385 509 0 10
3328 52 1979 5 1872 0 0 54 1405 467 20 10
3456 54 2056 5 1944 0 0 54 1397 546 16 10
3584 56 2049 5 1936 0 0 54 1403 532 10 10
3712 58 2145 5 -36 0 0 75 1380 631 26 10
3840 60 2225 5 44 0 0 74 1380 711 26 10
3968 62 2086 5 -95 0 0 73 1384 568 5 10
4096 64 2068 5 -95 0 0 54 1406 545 7 10
4224 66 2023 5 -159 0 0 70 1389 499 0 10
4352 68 1945 5 -217 0 0 54 1406 424 10 10
4480 70 2015 5 -145 0 0 54 1404 497 26 10
4608 72 2005 5 1884 0 0 54 1411 472 0 10
4736 74 2049 5 1926 0 0 54 1401 524 0 10
4864 76 1980 5 1861 0 0 54 1397 463 10 10
4992 78 2098 5 -70 0 0 54 1387 589 25 10
5120 80 2025 5 -142 0 0 54 1381 523 10 10
5248 82 2035 5 -133 0 0 54 1375 538 39 10
5376 84 1953 5 1831 0 0 54 1385 446 10 10
5504 86 1953 5 1824 0 0 54 1365 458 7 10
5632 88 2018 5 1888 0 0 54 1339 548 7 10
5760 90 2015 5 1884 0 0 54 1348 536 7 10
5888 92 2008 5 -181 0 0 70 1343 522 10 10
6016 94 1941 5 1810 0 0 54 1350 459 0 10
6144 96 1976 5 1844 0 0 54 1350 493 16 10
6272 98 1978 5 1844 0 0 54 1345 499 11 10
6400 100 2016 5 1883 0 0 54 1321 561 0 10
6528 102 1969 5 1835 0 0 54 1312 522 0 10
6656 104 1927 5 1792 0 0 54 1303 489 5 10
6784 106 1932 5 1797 0 0 54 1277 519 10 10
6912 108 1942 5 1805 0 0 54 1247 558 19 10
7040 110 1942 5 1805 0 0 54 1240 565 19 10
7168 112 1943 5 1805 0 0 54 1190 615 19 10
7296 114 1943 5 1805 0 0 54 1192 613 19 10
7424 116 1944 5 1805 0 0 54 1169 636 19 10
7552 118 1944 5 1805 0 0 54 1167 638 19 10
7680 120 1944 5 1805 0 0 54 1152 653 19 10
7808 122 1944 5 1805 0 0 54 1152 653 19 10
7936 124 1945 5 1805 0 0 54 1150 655 19 10
8064 126 1945 5 1805 0 0 54 1150 655 19 10
8192 128 1945 5 1805 0 0 54 1150 655 19 10
8320 130 1945 5 1805 0 0 54 1150 655 19 10
8448 132 1945 5 1805 0 0 54 1150 655 19 10
8576 134 1945 5 1805 0 0 54 1150 655 19 10
8704 136 1945 5 1805 0 0 54 1150 655 19 10
8832 138 1945 5 1805 0 0 54 1150 655 19 10
8960 140 1945 5 1805 0 0 54 1150 655 19 10
9088 142 1945 5 1805 0 0 54 1150 655 19 10
9216 144 1945 5 1805 0 0 54 1150 655 19 10
9344 146 1945 5 1805 0 0 54 1150 655 19 10
9472 148 1945 5 1805 0 0 54 1150 655 19 10
9600 150 1945 5 1805 0 0 54 1150 655 19 10
9728 152 1945 5 1805 0 0 54 1150 655 19 10
9856 154 1945 5 1805 0 0 54 1152 653 19 10
9984 156 1945 5 1805 0 0 54 1152 653 19 10
10112 158 1945 5 1805 0 0 54 1152 653 19 10
10240 160 1945 5 1805 0 0 54 1152 653 19 10
10368 162 1945 5 1805 0 0 54 1152 653 19 10
10496 164 1945 5 1805 0 0 54 1152 653 19 10
10624 166 1945 5 1805 0 0 54 1152 653 19 10
10752 168 1945 5 1805 0 0 54 1152 653 19 10
10880 170 1945 5 1805 0 0 54 1152 653 19 10
11008 172 1945 5 1805 0 0 54 1152 653 19 10
11136 174 1945 5 1805 0 0 54 1152 653 19 10
11264 176 1945 5 1805 0 0 54 1152 653 19 10
11392 178 1945 5 1805 0 0 54 1152 653 19 10
11520 180 1945 5 1805 0 0 54 1152 653 19 10
11648 182 1945 5 1805 0 0 54 1152 653 19 10
11776 184 1945 5 1805 0 0 54 1152 653 19 10
11904 186 1945 5 1805 0 0 54 1152 653 19 10
12032 188 1945 5 1805 0 0 54 1152 653 19 10
12160 190 1945 5 1805 0 0 54 1152 653 19 10
12288 192 1945 5 1805 0 0 54 1152 653 19 10
12416 194 1945 5 1805 0 0 54 1152 653 19 10
12544 196 1945 5 1805 0 0 54 1152 653 19 10
12672 198 1945 5 1805 0 0 54 1152 653 19 10
12800 200 1945 5 1805 0 0 54 1152 653 19 10
12928 202 1945 5 1805 0 0 54 1152 653 19 10
13056 204 1945 5 1805 0 0 54 1152 653 19 10
13184 206 1945 5 1805 0 0 54 1152 653 19 10
13312 208 1945 5 1805 0 0 54 1152 653 19 10
13440 210 1945 5 1805 0 0 54 1152 653 19 10
13568 212 1945 5 1805 0 0 54 1152 653 19 10
13696 214 1945 5 1805 0 0 54 1152 653 19 10
13824 216 1945 5 1805 0 0 54 1152 653 19 10
13952 218 1945 5 1805 0 0 54 1152 653 19 10
14080 220 1945 5 1805 0 0 54 1152 653 19 10
14208 222 1945 5 1805 0 0 54 1152 653 19 10
14336 224 1945 5 1805 0 0 54 1152 653 19 10
14464 226 1945 5 1805 0 0 54 1152 653 19 10
14592 228 1945 5 1805 0 0 54 1152 653 19 10
14720 230 1945 5 1805 0 0 54 1152 653 19 10
14848 232 1945 5 1805 0 0 54 1152 653 19 10
14976 234 1945 5 1805 0 0 54 1152 653 19 10
15104 236 1945 5 1805 0 0 54 1152 653 19 10
15232 238 1945 5 1805 0 0 54 1152 653 19 10
15360 240 1945 5 1805 0 0 54 1152 653 19 10
15488 242 1945 5 1805 0 0 54 1152 653 19 10
15616 244 1945 5 1805 0 0 54 1152 653 19 10
15744 246 1945 5 1805 0 0 54 1152 653 19 10
15872 248 1945 5 1805 0 0 54 1152 653 19 10
16000 250 1945 5 1805 0 0 54 1152 653 19 10
16128 252 1945 5 1805 0 0 54 1152 653 19 10
16256 254 1945 5 1805 0 0 54 1152 653 19 10
16384 256 1945 5 1805 0 0 54 1152 653 19 10
16512 258 1945 5 1805 0 0 54 1152 653 19 10
16640 260 1945 5 1805 0 0 54 1152 653 19 10
16768 262 1945 5 1805 0 0 54 1152 653 19 10
16896 264 1945 5 1805 0 0 54 1152 653 19 10
17024 266 1945 5 1805 0 0 54 1152 653 19 10
17152 268 1945 5 1805 0 0 54 1152 653 19 10
17280 270 1945 5 1805 0 0 54 1152 652 19 10
17408 272 1945 5 1805 0 0 54 1152 652 19 10
17536 274 1945 5 1805 0 0 54 1153 652 19 10
17664 276 1945 5 1805 0 0 54 1153 652 19 10
17792 278 1945 5 1805 0 0 54 1153 652 19 10
17920 280 1945 5 1805 0 0 54 1153 652 19 10
18048 282 1945 5 1805 0 0 54 1153 652 19 10
18176 284 1945 5 1805 0 0 54 1153 652 19 10
18304 286 1945 5 1805 0 0 54 1153 652 19 10
18432 288 1945 5 1805 0 0 54 1153 652 19 10
18560 290 1945 5 1805 0 0 54 1153 652 19 10
18688 292 1945 5 1805 0 0 54 1153 652 19 10
18816 294 1945 5 1805 0 0 54 1153 652 19 10
18944 296 1945 5 1805 0 0 54 1153 652 19 10
19072 298 1945 5 1805 0 0 54 1153 652 19 10
19200 300 1945 5 1805 0 0 54 1153 652 19 10
