# Scalar ASCII output created by CarpetIOScalar
# created on kop122.datura.admin by barry on Mar 29 2012 at 02:06:54+0200
# parameter filename: "/lustre/datura/barry/simulations/EinsteinToolkit_Maxwell/bbh/output-0001/bbh.par"
# Build ID: build-sim-login-damiana.damiana.admin-barry-2012.03.28-18.17.23-3129
# Simulation ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
# Run ID: run-bbh-kop122.datura.admin-barry-2012.03.29-00.04.46-28796
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
512 8 1614 3 1457 0 0 122 1205 252 19 10
640 10 1644 3 1553 0 0 54 1287 265 0 10
768 12 1731 3 1638 0 0 54 1298 340 0 10
896 14 1732 3 1638 0 0 54 1309 329 13 10
1024 16 1766 3 1671 0 0 54 1176 336 0 10
1152 18 1712 3 -2017 0 0 54 1185 402 0 10
1280 20 1714 3 -1942 0 0 54 1213 402 7 10
1408 22 1715 3 1615 0 0 54 1240 271 7 10
1536 24 1719 3 1630 0 0 54 1281 348 0 10
1664 26 1731 3 -2018 0 0 54 1216 413 0 10
1792 28 1791 3 -2018 0 0 54 1346 339 0 10
1920 30 1900 3 1793 0 0 54 1402 391 0 10
2048 32 1901 3 1793 0 0 54 1369 423 1 10
2176 34 1716 3 1607 0 0 54 1245 362 0 10
2304 36 1716 3 -1979 0 0 54 1193 414 0 10
2432 38 1717 3 -1944 0 0 54 1250 357 0 10
2560 40 1717 3 -1944 0 0 54 1219 388 0 10
2688 42 1743 3 -1862 0 0 54 1181 450 0 10
2816 44 1744 3 -1929 0 0 54 1158 473 0 10
2944 46 1745 3 -1930 0 0 54 1146 485 0 10
3072 48 1746 3 -1993 0 0 54 1296 335 0 10
3200 50 1821 3 -2010 0 0 54 1276 429 0 10
3328 52 1866 3 1757 0 0 54 1392 339 20 10
3456 54 2019 3 1901 0 0 54 1396 502 13 10
3584 56 2004 3 1885 0 0 54 1390 469 0 10
3712 58 2005 3 -1958 0 0 54 1100 477 0 10
3840 60 2006 3 -1797 0 0 54 1118 656 0 10
3968 62 1729 3 -1797 0 0 54 1140 467 0 10
4096 64 1731 3 -1797 0 0 54 1179 428 0 10
4224 66 1732 3 -1925 0 0 54 1214 393 0 10
4352 68 1734 3 -2041 0 0 54 1154 396 0 10
4480 70 1811 3 -1987 0 0 54 1296 399 21 10
4608 72 1931 3 1802 0 0 54 1397 404 0 10
4736 74 2017 3 1886 0 0 54 1390 495 0 10
4864 76 1879 3 1756 0 0 54 1291 462 0 10
4992 78 1880 3 -1896 0 0 54 1135 558 0 10
5120 80 1787 3 -1949 0 0 54 1188 477 0 10
5248 82 1752 3 -1895 0 0 54 1156 473 21 10
5376 84 1754 3 1629 0 0 54 1252 377 0 10
5504 86 1805 3 1667 0 0 54 1221 445 0 10
5632 88 1935 3 1795 0 0 54 1327 442 0 10
5760 90 1928 3 1787 0 0 54 1209 494 0 10
5888 92 1811 3 -2045 0 0 54 1239 443 0 10
6016 94 1796 3 1655 0 0 54 1250 404 0 10
6144 96 1797 3 1655 0 0 54 1201 453 0 10
6272 98 1867 3 1723 0 0 54 1326 396 0 10
6400 100 1944 3 1800 0 0 54 1312 487 0 10
6528 102 1850 3 1705 0 0 54 1177 518 0 10
6656 104 1765 3 1619 0 0 54 1222 396 0 10
6784 106 1775 3 1628 0 0 54 1266 340 0 10
6912 108 1793 3 1645 0 0 54 1174 471 0 10
7040 110 1793 3 1645 0 0 54 1230 395 0 10
7168 112 1794 3 1645 0 0 54 1181 445 0 10
7296 114 1795 3 1645 0 0 54 1182 443 0 10
7424 116 1796 3 1645 0 0 54 1159 466 0 10
7552 118 1796 3 1645 0 0 54 1158 468 0 10
7680 120 1796 3 1645 0 0 54 1143 484 0 10
7808 122 1796 3 1645 0 0 54 1143 484 0 10
7936 124 1797 3 1645 0 0 54 1141 486 0 10
8064 126 1797 3 1645 0 0 54 1141 486 0 10
8192 128 1797 3 1645 0 0 54 1141 485 0 10
8320 130 1797 3 1645 0 0 54 1141 485 0 10
8448 132 1797 3 1645 0 0 54 1141 485 0 10
8576 134 1797 3 1645 0 0 54 1141 485 0 10
8704 136 1797 3 1645 0 0 54 1141 485 0 10
8832 138 1797 3 1645 0 0 54 1141 485 0 10
8960 140 1797 3 1645 0 0 54 1141 485 0 10
9088 142 1797 3 1645 0 0 54 1141 485 0 10
9216 144 1797 3 1645 0 0 54 1141 485 0 10
9344 146 1797 3 1645 0 0 54 1141 485 0 10
9472 148 1797 3 1645 0 0 54 1141 485 0 10
9600 150 1797 3 1645 0 0 54 1141 485 0 10
9728 152 1797 3 1645 0 0 54 1141 485 0 10
9856 154 1796 3 1645 0 0 54 1143 483 0 10
9984 156 1796 3 1645 0 0 54 1143 483 0 10
10112 158 1796 3 1645 0 0 54 1143 483 0 10
10240 160 1796 3 1645 0 0 54 1143 483 0 10
10368 162 1796 3 1645 0 0 54 1143 483 0 10
10496 164 1796 3 1645 0 0 54 1143 483 0 10
10624 166 1796 3 1645 0 0 54 1143 483 0 10
10752 168 1796 3 1645 0 0 54 1143 483 0 10
